"INSEE_COM","Fibre_it","annee"
"01183",1,2024
"01184",0,2018
"01184",1,2019
"01184",1,2020
"01184",1,2021
"01184",1,2022
"01184",1,2023
"01184",1,2024
"01185",0,2018
"01185",0,2019
"01185",0,2020
"01185",0,2021
"01185",1,2022
"01185",1,2023
"01185",1,2024
"01186",0,2018
"01186",1,2019
"01186",1,2020
"01187",0,2018
"01187",0,2019
"01187",0,2020
"01187",0,2021
"01187",0,2022
"01187",1,2023
"01187",1,2024
"01188",0,2018
"01188",0,2019
"01188",0,2020
"01188",0,2021
"01188",0,2022
"01188",0,2023
"01188",0,2024
"01189",1,2018
"01189",1,2019
"01189",1,2020
"01189",1,2021
"01189",1,2022
"01189",1,2023
"01189",1,2024
"01190",0,2018
"01190",0,2019
"01190",0,2020
"01190",0,2021
"01190",0,2022
"01190",1,2023
"01190",1,2024
"01191",0,2018
"01191",0,2019
"01191",0,2020
"01191",0,2021
"01191",1,2022
"01191",1,2023
"01191",1,2024
"01192",0,2018
"01192",0,2019
"01192",0,2020
"01192",0,2021
"01192",0,2022
"01192",1,2023
"01192",1,2024
"01193",0,2018
"01193",0,2019
"01193",0,2020
"01193",0,2021
"01193",0,2022
"01193",0,2023
"01193",0,2024
"01194",0,2018
"01194",0,2019
"01194",0,2020
"01194",0,2021
"01194",0,2022
"01194",0,2023
"01194",0,2024
"01195",0,2018
"01195",1,2019
"01195",1,2020
"01195",1,2021
"01195",1,2022
"01195",1,2023
"01195",1,2024
"01196",0,2018
"01196",0,2019
"01196",0,2020
"01196",0,2021
"01196",0,2022
"01196",0,2023
"01196",1,2024
"01197",0,2018
"01197",0,2019
"01197",0,2020
"01197",0,2021
"01197",0,2022
"01197",0,2023
"01197",0,2024
"01198",1,2018
"01198",1,2019
"01198",1,2020
"01198",1,2021
"01198",1,2022
"01198",1,2023
"01198",1,2024
"01199",0,2018
"01199",0,2019
"01199",0,2020
"01199",0,2021
"01199",0,2022
"01199",0,2023
"01199",1,2024
"01200",0,2018
"01200",0,2019
"01200",0,2020
"01200",0,2021
"01200",1,2022
"01200",1,2023
"01200",1,2024
"01202",0,2018
"01202",0,2019
"01202",0,2020
"01202",0,2021
"01202",0,2022
"01202",0,2023
"01202",1,2024
"01203",0,2018
"01203",0,2019
"01203",0,2020
"01203",0,2021
"01203",0,2022
"01203",0,2023
"01203",0,2024
"01204",0,2018
"01204",0,2019
"01204",0,2020
"01204",0,2021
"01204",0,2022
"01204",0,2023
"01204",0,2024
"01205",1,2018
"01205",1,2019
"01205",1,2020
"01206",0,2018
"01206",0,2019
"01206",0,2020
"01206",0,2021
"01206",1,2022
"01206",1,2023
"01206",1,2024
"01207",0,2018
"01207",0,2019
"01207",0,2020
"01207",0,2021
"01207",1,2022
"01207",1,2023
"01207",1,2024
"01208",0,2018
"01208",0,2019
"01208",0,2020
"01208",0,2021
"01208",0,2022
"01208",1,2023
"01208",1,2024
"01209",1,2018
"01209",1,2019
"01209",1,2020
"01209",1,2021
"01209",1,2022
"01209",1,2023
"01209",1,2024
"01210",0,2018
"01210",0,2019
"01210",0,2020
"01210",0,2021
"01210",0,2022
"01210",0,2023
"01210",1,2024
"01211",0,2018
"01211",0,2019
"01211",0,2020
"01211",0,2021
"01211",0,2022
"01211",0,2023
"01211",1,2024
"01212",0,2018
"01212",0,2019
"01212",0,2020
"01212",0,2021
"01212",0,2022
"01212",0,2023
"01212",0,2024
"01213",1,2018
"01213",1,2019
"01213",1,2020
"01213",1,2021
"01213",1,2022
"01213",1,2023
"01213",1,2024
"01214",1,2018
"01214",1,2019
"01214",1,2020
"01214",1,2021
"01214",1,2022
"01214",1,2023
"01214",1,2024
"01215",1,2018
"01215",1,2019
"01215",1,2020
"01215",1,2021
"01215",1,2022
"01215",1,2023
"01215",1,2024
"01216",0,2018
"01216",0,2019
"01216",0,2020
"01216",0,2021
"01216",0,2022
"01216",0,2023
"01216",1,2024
"01218",1,2018
"01218",1,2019
"01218",1,2020
"01219",1,2018
"01219",1,2019
"01219",1,2020
"01219",1,2021
"01219",1,2022
"01219",1,2023
"01219",1,2024
"01221",0,2018
"01221",0,2019
"01221",0,2020
"01224",0,2018
"01224",0,2019
"01224",0,2020
"01224",0,2021
"01224",0,2022
"01224",0,2023
"01224",0,2024
"01225",0,2018
"01225",0,2019
"01225",0,2020
"01225",0,2021
"01225",0,2022
"01225",0,2023
"01225",0,2024
"01227",1,2018
"01227",1,2019
"01227",1,2020
"01227",1,2021
"01227",1,2022
"01227",1,2023
"01227",1,2024
"01228",1,2018
"01228",1,2019
"01228",1,2020
"01228",1,2021
"01228",1,2022
"01228",1,2023
"01228",1,2024
"01229",0,2018
"01229",0,2019
"01229",0,2020
"01229",0,2021
"01229",0,2022
"01229",0,2023
"01229",1,2024
"01230",0,2018
"01230",1,2019
"01230",1,2020
"01230",1,2021
"01230",1,2022
"01230",1,2023
"01230",1,2024
"01231",1,2018
"01231",1,2019
"01231",1,2020
"01231",1,2021
"01231",1,2022
"01231",1,2023
"01231",1,2024
"01232",0,2018
"01232",0,2019
