"INSEE_COM","annee","nb_chomeurs"
"02218",2017,55
"02219",2016,25
"02219",2017,20
"02220",2016,25
"02220",2017,25
"02221",2016,10
"02221",2017,15
"02222",2016,5
"02222",2017,5
"02223",2016,25
"02223",2017,25
"02224",2016,35
"02224",2017,35
"02225",2016,10
"02225",2017,10
"02226",2016,175
"02226",2017,165
"02227",2016,10
"02227",2017,15
"02228",2016,35
"02228",2017,40
"02229",2016,5
"02229",2017,10
"02230",2016,15
"02230",2017,15
"02231",2016,100
"02231",2017,95
"02232",2016,15
"02232",2017,20
"02233",2016,15
"02233",2017,10
"02234",2016,10
"02234",2017,10
"02235",2016,15
"02235",2017,15
"02236",2016,30
"02236",2017,45
"02237",2016,170
"02237",2017,180
"02238",2016,175
"02238",2017,175
"02239",2016,115
"02239",2017,120
"02240",2016,20
"02240",2017,15
"02241",2016,10
"02241",2017,10
"02242",2016,60
"02242",2017,65
"02243",2016,305
"02243",2017,310
"02244",2016,5
"02244",2017,5
"02245",2016,180
"02245",2017,200
"02246",2016,60
"02246",2017,55
"02248",2016,15
"02248",2017,10
"02249",2016,5
"02249",2017,5
"02250",2016,0
"02250",2017,5
"02251",2016,5
"02251",2017,5
"02252",2016,10
"02252",2017,5
"02253",2016,25
"02253",2017,20
"02254",2016,10
"02254",2017,15
"02255",2016,15
"02255",2017,15
"02256",2016,10
"02256",2017,10
"02257",2016,20
"02257",2017,25
"02258",2016,30
"02258",2017,30
"02259",2016,20
"02259",2017,30
"02260",2016,65
"02260",2017,70
"02261",2016,35
"02261",2017,35
"02262",2016,10
"02262",2017,15
"02263",2016,15
"02263",2017,15
"02264",2016,105
"02264",2017,95
"02265",2016,5
"02265",2017,5
"02266",2016,5
"02266",2017,0
"02267",2016,25
"02267",2017,30
"02268",2016,50
"02268",2017,55
"02269",2016,10
"02269",2017,10
"02270",2016,25
"02270",2017,20
"02271",2016,5
"02271",2017,15
"02272",2016,5
"02272",2017,0
"02273",2016,15
"02273",2017,15
"02274",2016,25
"02274",2017,20
"02275",2016,40
"02275",2017,50
"02276",2016,10
"02276",2017,10
"02277",2016,30
"02277",2017,30
"02278",2016,0
"02278",2017,5
"02279",2016,50
"02279",2017,40
"02280",2016,35
"02280",2017,40
"02281",2016,20
"02281",2017,20
"02282",2016,35
"02282",2017,45
"02283",2016,30
"02283",2017,35
"02284",2016,10
"02284",2017,5
"02286",2016,80
"02286",2017,70
"02287",2016,65
"02287",2017,65
"02288",2016,40
"02288",2017,30
"02289",2016,25
"02289",2017,25
"02290",2016,230
"02290",2017,240
"02291",2016,35
"02291",2017,30
"02292",2016,105
"02292",2017,125
"02293",2016,45
"02293",2017,45
"02294",2016,15
"02294",2017,15
"02295",2016,85
"02295",2017,100
"02296",2016,75
"02296",2017,75
"02297",2016,10
"02297",2017,5
"02298",2016,195
"02298",2017,190
"02299",2016,45
"02299",2017,50
"02302",2016,30
"02302",2017,20
"02303",2016,30
"02303",2017,35
"02304",2016,405
"02304",2017,430
"02305",2016,400
"02305",2017,380
"02306",2016,60
"02306",2017,55
"02307",2016,205
"02307",2017,215
"02308",2016,45
"02308",2017,45
"02309",2016,70
"02309",2017,70
"02310",2016,15
"02310",2017,20
"02312",2016,110
"02312",2017,100
"02313",2016,35
"02313",2017,40
"02315",2016,120
"02315",2017,130
"02316",2016,5
"02316",2017,5
"02317",2016,15
"02317",2017,15
"02318",2016,165
"02318",2017,175
"02319",2016,35
"02319",2017,40
"02320",2016,25
"02320",2017,20
"02321",2016,95
"02321",2017,95
"02322",2016,30
"02322",2017,30
"02323",2016,10
"02323",2017,15
"02324",2016,20
"02324",2017,20
"02326",2016,40
"02326",2017,40
"02327",2016,15
"02327",2017,15
"02328",2016,40
"02328",2017,40
"02329",2016,20
"02329",2017,20
"02330",2016,30
"02330",2017,30
"02331",2016,20
"02331",2017,10
"02332",2016,20
"02332",2017,20
"02333",2016,15
"02333",2017,20
"02334",2016,320
"02334",2017,315
"02335",2016,20
"02335",2017,20
"02336",2016,70
"02336",2017,75
"02337",2016,10
"02337",2017,15
"02338",2016,25
"02338",2017,25
"02339",2016,60
"02339",2017,55
"02340",2016,515
"02340",2017,540
"02341",2016,30
"02341",2017,20
"02342",2016,10
"02342",2017,15
"02343",2016,5
"02343",2017,10
"02345",2016,5
"02345",2017,5
"02346",2016,50
"02346",2017,50
"02347",2016,35
"02347",2017,35
"02349",2016,5
"02349",2017,5
"02350",2016,10
"02350",2017,10
"02351",2016,5
"02351",2017,5
"02352",2016,70
"02352",2017,65
"02353",2016,20
"02353",2017,25
"02354",2016,10
"02354",2017,10
"02355",2016,80
"02355",2017,65
"02356",2016,25
"02356",2017,20
"02357",2016,5
"02357",2017,5
"02358",2016,45
"02358",2017,35
"02359",2016,85
"02359",2017,95
"02360",2016,205
"02360",2017,190
"02361",2016,690
"02361",2017,675
"02362",2016,15
"02362",2017,15
"02363",2016,40
"02363",2017,45
"02364",2016,15
"02364",2017,15
"02366",2016,35
"02366",2017,35
"02367",2016,10
"02367",2017,10
"02368",2016,45
"02368",2017,40
"02369",2016,30
"02369",2017,25
"02370",2016,60
"02370",2017,60
"02371",2016,135
"02371",2017,150
"02372",2016,30
"02372",2017,30
"02373",2016,15
"02373",2017,10
"02374",2016,80
"02374",2017,85
"02375",2016,15
"02375",2017,15
"02376",2016,15
"02376",2017,20
"02377",2016,5
"02377",2017,15
"02378",2016,5
"02378",2017,5
"02379",2016,10
"02379",2017,10
"02380",2016,0
"02380",2017,0
"02381",2016,1155
"02381",2017,1200
"02382",2016,100
"02382",2017,105
"02383",2016,115
"02383",2017,110
"02384",2016,10
"02384",2017,10
"02385",2016,15
"02385",2017,15
"02386",2016,25
"02386",2017,25
"02387",2016,70
"02387",2017,75
"02388",2016,15
"02388",2017,15
"02389",2016,60
"02389",2017,50
"02390",2016,30
"02390",2017,30
"02391",2016,25
"02391",2017,30
"02392",2016,15
"02392",2017,25
"02393",2016,10
"02393",2017,10
"02395",2016,10
"02395",2017,10
"02396",2016,5
"02396",2017,10
"02397",2016,125
"02397",2017,110
"02398",2016,20
